INFO 2015-09-28 21:02:55,414 writers 25993 -1261003888 starting to write bonus for sale #5657
WARNING 2015-09-28 21:02:55,420 writers 25993 -1261003888 sale #5657 has no commission details
INFO 2015-09-28 21:02:55,428 writers 25993 -1261003888 starting to write bonus for sale #5658
WARNING 2015-09-28 21:02:55,463 writers 25993 -1261003888 sale #5658 has no commission details
INFO 2015-09-28 21:02:55,471 writers 25993 -1261003888 starting to write bonus for sale #5659
WARNING 2015-09-28 21:02:55,478 writers 25993 -1261003888 sale #5659 has no commission details
INFO 2015-09-28 21:02:55,488 writers 25993 -1261003888 starting to write bonuses for דרישה לתשלום לפרוייקט זילברמינץ  - פעמוני החורש -צור יצחק בגיו חודש 7-2015
INFO 2015-09-28 21:02:55,771 writers 25993 -1261003888 starting to write bonus for sale #5572
INFO 2015-09-28 21:02:55,790 writers 25993 -1261003888 starting to write bonus for sale #5573
WARNING 2015-09-28 21:02:55,796 writers 25993 -1261003888 sale #5573 has no commission details
INFO 2015-09-28 21:02:55,804 writers 25993 -1261003888 starting to write bonus for sale #5574
WARNING 2015-09-28 21:02:55,811 writers 25993 -1261003888 sale #5574 has no commission details
INFO 2015-09-28 21:02:55,818 writers 25993 -1261003888 starting to write bonus for sale #5575
WARNING 2015-09-28 21:02:55,825 writers 25993 -1261003888 sale #5575 has no commission details
INFO 2015-09-28 21:02:55,860 writers 25993 -1261003888 starting to write bonus for sale #5576
WARNING 2015-09-28 21:02:55,867 writers 25993 -1261003888 sale #5576 has no commission details
INFO 2015-09-28 21:02:55,875 writers 25993 -1261003888 starting to write bonus for sale #5577
WARNING 2015-09-28 21:02:55,882 writers 25993 -1261003888 sale #5577 has no commission details
INFO 2015-09-28 21:02:55,894 writers 25993 -1261003888 starting to write bonuses for דרישה לתשלום לפרוייקט זילברמינץ  - פעמוני החורש -צור יצחק בגיו חודש 6-2015
INFO 2015-09-28 21:02:56,102 writers 25993 -1261003888 starting to write bonus for sale #5434
WARNING 2015-09-28 21:02:56,109 writers 25993 -1261003888 sale #5434 has no commission details
INFO 2015-09-28 21:02:56,117 writers 25993 -1261003888 starting to write bonus for sale #5435
WARNING 2015-09-28 21:02:56,124 writers 25993 -1261003888 sale #5435 has no commission details
INFO 2015-09-28 21:02:56,160 writers 25993 -1261003888 starting to write bonus for sale #5436
WARNING 2015-09-28 21:02:56,167 writers 25993 -1261003888 sale #5436 has no commission details
INFO 2015-09-28 21:02:56,176 writers 25993 -1261003888 starting to write bonus for sale #5437
WARNING 2015-09-28 21:02:56,181 writers 25993 -1261003888 sale #5437 has no commission details
INFO 2015-09-28 21:02:56,190 writers 25993 -1261003888 starting to write bonus for sale #5438
WARNING 2015-09-28 21:02:56,196 writers 25993 -1261003888 sale #5438 has no commission details
INFO 2015-09-28 21:02:56,204 writers 25993 -1261003888 starting to write bonus for sale #5439
WARNING 2015-09-28 21:02:56,211 writers 25993 -1261003888 sale #5439 has no commission details
INFO 2015-09-28 21:09:40,770 writers 25993 -1261003888 starting zilberAddsFlows
INFO 2015-09-28 21:09:48,986 writers 25993 -1261003888 starting zilberBonusFlows
DEBUG 2015-09-28 21:09:48,987 writers 25993 -1261003888 {'base_madad': 126.90000000000001}
INFO 2015-09-28 21:09:48,987 writers 25993 -1261003888 starting to write bonuses for דרישה לתשלום לפרוייקט זילברמינץ  - זילברמינץ במודיעין  בגיו חודש 8-2015
INFO 2015-09-28 21:09:49,761 writers 25993 -1261003888 starting to write bonus for sale #5607
INFO 2015-09-28 21:09:49,779 writers 25993 -1261003888 starting to write bonus for sale #5608
INFO 2015-09-28 21:09:49,797 writers 25993 -1261003888 starting to write bonus for sale #5609
INFO 2015-09-28 21:09:49,815 writers 25993 -1261003888 starting to write bonus for sale #5610
INFO 2015-09-28 21:09:49,862 writers 25993 -1261003888 starting to write bonus for sale #5611
INFO 2015-09-28 21:09:49,880 writers 25993 -1261003888 starting to write bonus for sale #5612
INFO 2015-09-28 21:09:49,897 writers 25993 -1261003888 starting to write bonus for sale #5613
INFO 2015-09-28 21:09:49,918 writers 25993 -1261003888 starting to write bonuses for דרישה לתשלום לפרוייקט זילברמינץ  - זילברמינץ במודיעין  בגיו חודש 7-2015
INFO 2015-09-28 21:09:50,188 writers 25993 -1261003888 starting to write bonus for sale #5538
INFO 2015-09-28 21:09:50,206 writers 25993 -1261003888 starting to write bonus for sale #5542
INFO 2015-09-28 21:09:50,228 writers 25993 -1261003888 starting to write bonuses for דרישה לתשלום לפרוייקט זילברמינץ  - זילברמינץ במודיעין  בגיו חודש 6-2015
INFO 2015-09-28 21:09:51,078 writers 25993 -1261003888 starting to write bonus for sale #5469
INFO 2015-09-28 21:09:51,096 writers 25993 -1261003888 starting to write bonus for sale #5470
INFO 2015-09-28 21:09:51,114 writers 25993 -1261003888 starting to write bonus for sale #5471
INFO 2015-09-28 21:09:51,160 writers 25993 -1261003888 starting to write bonus for sale #5472
INFO 2015-09-28 21:09:51,179 writers 25993 -1261003888 starting to write bonus for sale #5473
INFO 2015-09-28 21:09:51,197 writers 25993 -1261003888 starting to write bonus for sale #5474
INFO 2015-09-28 21:09:51,214 writers 25993 -1261003888 starting to write bonus for sale #5475
INFO 2015-09-28 21:09:51,260 writers 25993 -1261003888 starting to write bonus for sale #5476
INFO 2015-09-28 21:09:51,278 writers 25993 -1261003888 starting to write bonus for sale #5502
INFO 2015-09-28 21:09:51,301 writers 25993 -1261003888 starting to write bonuses for דרישה לתשלום לפרוייקט זילברמינץ  - זילברמינץ במודיעין  בגיו חודש 5-2015
